content,kanji,meaning,lesson_number
ぎゅうにゅう/ ミルク,牛乳,sữa bò/ sữa,6
ジュース,,nước trái cây,6
ビール,,beer,6
おさけ,お酒,rượu gạo Nhật Bản,6
たばこ,煙草,thuốc lá,6
てがみ,手紙,thư,6
レポート,,báo cáo,6
しゃしん,写真,ảnh,6
ビデオ,,băng video,6
みせ,店,"cửa hàng, shop",6
にわ,庭,vườn,6
しゅくだい,宿題,bài tập về nhà,6
テニス,,tennis,6
サッカー,,bóng đá,6
おはなみ,お花見,việc ngắm hoa anh đào,6
なに,,cái gì,6
いっしょに,一緒に,cùng nhau,6
ちょっと,,một chút,6
いつも,,luôn luôn,6
ときどき,時々,thỉnh thoảng,6
それから,,sau đó,6
ええ,,vâng/ được,6
いいですね,,được đấy nhỉ./ hay quá.,6
わかりました,分かりました,tôi hiểu rồi./ vâng ạ.,6
なんですか,何ですか,có gì đấy ạ?/ Cái gì vậy?/ Vâng có tôi.,6
じゃ、また【あした】,じゃ、また【明日】,hẹn gặp lại [ngày mai].,6
